,Impact,poorPerfection,poornessPercent,goodDesignsElim,totalPerfection,numCorrect,goodPerfection,goodnessPercent,numIncorrect,poorEliminationPercent,poorDesignsElim
rule_B1_S1_Rule_A,-13,False,68,888,False,1734,False,55,2262,41,624
rule_B1_S1_Rule_B,2,False,96,20,False,2042,False,98,1954,76,64
rule_P1_B2_Rule_T,0,False,45,1081,False,1996,False,45,2000,49,1079
rule_PA2_H2_Rule_I,-1,True,100,30,False,1968,False,98,2028,0,0
rule_P1_S1_Rule_B,2,False,96,18,False,2046,False,99,1950,78,66
rule_P1_S1_Rule_A,28,False,48,474,False,2562,False,76,1434,68,1038
rule_PS1_Rule_M,-15,False,23,1848,False,1686,False,7,2310,45,1536
rule_0_Rule_misc,0,False,0,1998,False,1998,False,0,1998,50,1998
rule_P1_S1_Rule_F,28,False,48,474,False,2562,False,76,1434,68,1038
rule_PP1_Rule_R,0,False,100,0,True,1998,False,100,1998,,0
rule_B1_H1_Rule_F,-13,False,68,888,False,1734,False,55,2262,41,624
rule_H2_S1_Rule_A,-23,False,88,705,False,1524,False,64,2472,24,231
rule_H2_S1_Rule_B,0,False,98,21,False,1998,False,98,1998,50,21
rule_PP1_Rule_M,-13,False,36,1541,False,1724,False,22,2272,45,1267
rule_B1_H1_Rule_B,-6,True,100,120,False,1878,False,93,2118,0,0
rule_PS1_Rule_R,0,False,100,0,True,1998,False,100,1998,,0
rule_P1_H1_Rule_T,5,False,46,955,False,2104,False,52,1892,52,1061
rule_B1_H1_Rule_A,-13,False,68,888,False,1734,False,55,2262,41,624
rule_A1_P1_Rule_F,-18,False,80,758,False,1634,False,62,2362,34,394
rule_P2_Y_Rule_F,51,False,36,241,False,3028,False,87,968,84,1271
rule_P1andS1_PIn2andPA1_Rule_O,24,False,50,502,False,2487,False,74,1509,66,991
rule_H2_H1_Rule_T,-22,False,84,764,False,1550,False,61,2446,29,316
rule_A1_P1_Rule_B,3,False,94,52,False,2062,False,97,1934,69,116
rule_A1_P1_Rule_A,-18,False,80,758,False,1634,False,62,2362,34,394
rule_PB1_A1_Rule_I,-4,True,100,96,False,1902,False,95,2094,0,0
rule_P2_Y_Rule_T,-51,False,63,1757,False,968,False,12,3028,29,727
rule_PIn2_P2_Rule_I,9,False,79,210,False,2190,False,89,1806,65,402
rule_H2_S1_Rule_F,-23,False,88,705,False,1524,False,64,2472,24,231
rule_P1_A1_Rule_T,-4,False,49,1086,False,1914,False,45,2082,47,1002
rule_A1_H1_Rule_T,-23,False,66,1131,False,1536,False,43,2460,37,669
rule_PIn2_A1_Rule_I,-5,False,90,317,False,1880,False,84,2116,38,199
rule_P2_H1_Rule_T,20,False,39,806,False,2402,False,59,1594,60,1210
rule_B2andP1_PP1andPP2_Rule_O,7,False,81,222,False,2146,False,88,1850,62,370
rule_B1andY_PB1andPB2_Rule_O,-17,False,49,1360,False,1654,False,31,2342,42,1016
rule_A1_H1_Rule_B,-4,True,100,84,False,1914,False,95,2082,0,0
rule_A1_H1_Rule_A,-18,False,80,758,False,1634,False,62,2362,34,394
rule_A1_S1_Rule_F,-18,False,80,758,False,1634,False,62,2362,34,394
rule_A1_H1_Rule_F,-18,False,80,758,False,1634,False,62,2362,34,394
rule_P2_Y_Rule_B,0,False,100,0,True,1998,False,100,1998,,0
rule_P2_Y_Rule_A,51,False,36,241,False,3028,False,87,968,84,1271
rule_A1_S1_Rule_B,1,False,98,10,False,2026,False,99,1970,79,38
rule_A1_S1_Rule_A,-18,False,80,758,False,1634,False,62,2362,34,394
rule_PIn2_Rule_NI,0,False,0,1998,False,1998,False,0,1998,50,1998
rule_PP2_Rule_NI,38,False,50,206,False,2774,False,89,1222,82,982
rule_A1andY_PP1andPP2_Rule_O,52,False,14,663,False,3048,False,66,948,72,1713
rule_PIn2_Y_Rule_I,0,False,100,0,True,1998,False,100,1998,,0
rule_S1_Rule_NI,15,False,76,150,False,2310,False,92,1686,75,462
rule_PA1_P2_Rule_I,3,False,96,0,False,2058,True,100,1938,100,60
rule_P2_P1_Rule_T,25,False,44,611,False,2504,False,69,1492,64,1117
rule_A1andB1_PIn1andPIn2_Rule_O,-17,False,53,1278,False,1650,False,36,2346,42,930
rule_B1_Rule_NI,-13,False,68,888,False,1734,False,55,2262,41,624
rule_P1andP2_PIn1andPIn2_Rule_O,49,False,18,632,False,2990,False,68,1006,71,1624
rule_H1_S1_Rule_A,-19,False,86,661,False,1612,False,66,2384,29,275
rule_H1_S1_Rule_B,0,False,98,13,False,2014,False,99,1982,69,29
rule_B1_Y_Rule_F,-13,False,68,888,False,1734,False,55,2262,41,624
